Date,MSFT.US
1990-03-01,0.48938
1990-03-02,0.513105
1990-03-05,0.521186
1990-03-06,0.513105
1990-03-07,0.505423
1990-03-08,0.521186
1990-03-09,0.521186
1990-03-12,0.529168
1990-03-13,0.521186
1990-03-14,0.529168
1990-03-15,0.545031
1990-03-16,0.560594
1990-03-19,0.576856
1990-03-20,0.552713
1990-03-21,0.560594
1990-03-22,0.545031
1990-03-23,0.545031
1990-03-26,0.545031
1990-03-27,0.552713
1990-03-28,0.545031
1990-03-29,0.545031
1990-03-30,0.545031
1990-04-02,0.545031
1990-04-03,0.568476
1990-04-04,0.576856
1990-04-05,0.560594
1990-04-06,0.560594
1990-04-09,0.560594
1990-04-10,0.584239
1990-04-11,0.592021
1990-04-12,0.592021
1990-04-16,0.600102
1990-04-17,0.608084
1990-04-18,0.600102
1990-04-19,0.584239
1990-04-20,0.584239
1990-04-23,0.584239
1990-04-24,0.568476
1990-04-25,0.568476
1990-04-26,0.560594
1990-04-27,0.552713
1990-04-30,0.568476
1990-05-01,0.560594
1990-05-02,0.576856
1990-05-03,0.584239
1990-05-04,0.608084
1990-05-07,0.631429
1990-05-08,0.616065
1990-05-09,0.616065
1990-05-10,0.631429
1990-05-11,0.647592
1990-05-14,0.647592
1990-05-15,0.639511
1990-05-16,0.639511
1990-05-17,0.639511
1990-05-18,0.671137
1990-05-21,0.694882
1990-05-22,0.702464
1990-05-23,0.750452
1990-05-24,0.750452
1990-05-25,0.73439
1990-05-29,0.742371
1990-05-30,0.742371
1990-05-31,0.718427
1990-06-01,0.742371
1990-06-04,0.750452
1990-06-05,0.718427
1990-06-06,0.718427
1990-06-07,0.710844
1990-06-08,0.726508
1990-06-11,0.73439
1990-06-12,0.750452
